ranking,tier,companyName,email,emailStatus,city,country,website
1,AAA,"devlab - Innovative Software Development | AI, DevOps & Custom ...",website@devlab.expert,public_found,Leipzig,Germany,https://devlab.expert
2,AAA,Software & IT Dresden | Groenewold IT Solutions,info@groenewold-it.solutions,generic,Dresden,Germany,https://groenewold-it.solutions
3,AAA,Software Entwicklung Agentur Dresden,auftrag@app-web-entwicklung.de,public_found,Dresden,Germany,https://app-web-entwicklung.de
4,AAA,elbital - Softwareentwicklung Dresden | Website & App Entwicklung,info@elbital.de,generic,Dresden,Germany,https://elbital.de
5,AAA,Softwareentwicklung in Leipzig | Inno Softwareentwicklung,info@innosirius.de,generic,Leipzig,Germany,https://inno-softwareentwicklung.de
6,AAA,Webentwicklung Dresden - LOROP GmbH,,no_email,Dresden,Germany,https://lorop.de
7,AAA,Leipzig: Agile Softwareentwicklung mit Comsysto Reply GmbH,kontakt.comsysto@reply.de,public_found,Leipzig,Germany,https://comsystoreply.de
8,AAA,goodDEV | Drupal Agentur & Softwareentwicklung,hello@gooddev.de,generic,Dresden,Germany,https://gooddev.de
9,AAA,Softwareentwicklung - Sandstein NM Dresden,info@sandstein.de,generic,Dresden,Germany,https://sandstein.de
10,AAA,MPOWR IT | System- und Software-Architekten aus Dresden,info@mpower.it,generic,Dresden,Germany,https://mpowr-it.de
11,AAA,Softwareentwicklung in Leipzig | Innosirius,info@innosirius.de,generic,Leipzig,Germany,https://innosirius.de
12,AAA,"IW Informatik - Softwareentwicklung, Prozessautomatisierung, IT ...",info@iw-informatik.com,generic,Chemnitz,Germany,https://iw-informatik.de
13,AAA,Software- und Webentwicklung Leipzig - Agentur für Usability,,no_email,Leipzig,Germany,https://youbility.de
14,AAA,Webentwicklung Dresden | Digitalagentur | TechTurm,,no_email,Dresden,Germany,https://techturm.de
15,AAA,"Webagentur Dresden | Webdesign, Webentwicklung & Website Dresden - Webschön",,no_email,Dresden,Germany,https://webschoen.de
16,AAA,C2 Internetagentur Webagentur Leipzig Sachsen Webdesign KI,,no_email,Leipzig,Germany,https://c2media.de
17,AAA,Webentwicklung Agentur für Leipzig | Pintor,,no_email,Leipzig,Germany,https://pintor.de
18,AAA,Top Agenturen für Webentwicklung in Leipzig,,no_email,Leipzig,Germany,https://webdevdirectory.com
19,AAA,Webentwicklung Dresden | TechFront - Silicon Saxony goes Digital,,no_email,Dresden,Germany,https://techfront.io
20,AAA,"Softwareentwicklung in Leipzig, Sachsen | Web, App, Cloud & KI - singularIT",felix.hammann@singular-it.de,public_found,Leipzig,Germany,https://singular-it.de
21,AAA,Ihr Premium-IT-Dienstleister in Chemnitz,datenschutz@axilaris.de,public_found,Chemnitz,Germany,https://axilaris.de
22,AAA,Consultant Software Development (all genders) - Detecon,Recruiting@detecon.com,public_found,Dresden,Germany,https://detecon.com
23,AAA,Softwareentwicklung Dresden - Platri IT,info@platri.de,generic,Dresden,Germany,https://platri.de
24,AAA,LinoPro / Individuelle Softwareentwicklung / Konstruktionsbüro,post@linopro.de,generic,Dresden,Germany,https://linopro.de
25,AAA,"Automation, Elektronik- und Softwareentwicklung » INTRONIK",info@intronik.de,generic,Dresden,Germany,https://intronik.de
26,AAA,Softwareentwicklung Leipzig | TripleConsult,info@tripleconsult.de,generic,Leipzig,Germany,https://tripleconsult.de
27,AAA,"Heiko Schröder Softwareentwicklung, Leipzig",info@schroeder-leipzig.de,generic,Leipzig,Germany,https://schroeder-leipzig.de
28,AAA,IT-Dienstleister Softwareentwicklung Leipzig | it factum GmbH,kontakt@it-factum.de,generic,Leipzig,Germany,https://it-factum.de
29,AAA,Software Unternehmen Leipzig | das Team - robole,info@robole.de,generic,Leipzig,Germany,https://robole.de
30,AAA,KOLMUKO - Individuelle Softwareentwicklung aus Leipzig,info@kolmuko.de,generic,Leipzig,Germany,https://kolmuko.de
31,AAA,Softwareentwicklung - AXP Consulting,info@axp-consulting.de,generic,Leipzig,Germany,https://axp-consulting.de
32,AAA,"Softwareentwicklung, Apps & Embedded Systems - Colorando",info@colorando.de,generic,Chemnitz,Germany,https://colorando.de
33,AAA,Kontakt - Deveritec,info@deveritec.com,generic,Dresden,Germany,https://deveritec.com
34,AAA,IT Beratung und Softwareentwicklung in Dresden & München,kontakt@twentyzen.com,generic,Dresden,Germany,https://twentyzen.com
35,AAA,Softwareentwicklung Chemnitz - Top Anbieter und Dienstleistungen ...,info@maexware-solutions.de,generic,Chemnitz,Germany,https://software-mittelstand.info
36,AAA,Softwareentwicklung - Stellenausschreibung - Comcrypto,,no_email,Chemnitz,Germany,https://comcrypto.de
37,AAA,"merabit - Softwareentwicklung, Websites und Webdesign in Chemnitz und ...",,no_email,Chemnitz,Germany,https://merabit.de
38,AAA,codeculture: Enterprise Software Entwicklung & eCommerce,,no_email,Chemnitz,Germany,https://codeculture.de
39,AAA,Visual World GmbH,,no_email,Chemnitz,Germany,https://visual-world.de
40,AAA,Frank Emmrich IT-Consulting - Softwareentwicklung und Softwareberatung ...,,no_email,Chemnitz,Germany,https://frank-emmrich.de
