companyName,entity,tierReason,website
Individuelle Softwareentwicklung - Kontext-e,company,llm:off-niche,https://kontext-e.com
"Softwareentwicklung R.Döhnel, Zwickau - Öffnungszeiten",company,llm:off-niche,https://web2.cylex.de
Softwareentwickler/in - Dresden,company,llm:off-niche,https://arbeiten.de
Kontakt - CARNET GmbH,company,llm:off-niche,https://carnet-gmbh.de
Über uns - Software Concept,company,llm:off-niche,https://software-concept.de
Nikhil Apte aus Indien: Softwareentwickler bei Pendix in Zwickau,company,llm:off-niche,https://region-zwickau.de
WerbeFranz: Webdesign Dresden vom Webdesigner Dresden,company,llm:off-niche,https://werbefranz.de
"SoftEd Systems - Seminare, Software, Support, IT-Beratung",training,not-a-company:training,https://softed.de
HTWK Leipzig FDIT Software Engineering,edu,not-a-company:edu,https://fdit.htwk-leipzig.de
Aktuelle Softwareentwicklung Stellenangebote in Leipzig - 06.06 ...,jobboard,not-a-company:jobboard,https://stellenonline.de
Softwareentwicklung: 204 Jobs & Stellenangebote in Dresden,jobboard,not-a-company:jobboard,https://jobs.heise.de
5 SaaS Jobs in Dresden - ITsax.de,directory,not-a-company:directory,https://itsax.de
Softwareentwicklung für Wirtschaft & Verwaltung,edu,not-a-company:edu,https://wifa.uni-leipzig.de
Community4you AG IT-Softwareentwicklung in 09120 Chemnitz-Helbersdorf,directory,not-a-company:directory,https://gelbeseiten.de
Aktuelle Softwareentwicklung Jobs in Chemnitz - Jun 2026 - XING,directory,not-a-company:directory,https://xing.com
187 Stellenangebote für Softwareentwickler in Dresden - SZ-JOBS,jobboard,not-a-company:jobboard,https://sz-jobs.de
Top 82 Softwareunternehmen - in Dresden - GoYellow,directory,not-a-company:directory,https://goyellow.de
Bereitgestellte Software | Softwaredienste | Dienste - TU Chemnitz,edu,not-a-company:edu,https://tu-chemnitz.de
Software Entwicklung: 1390 Jobs & Stellenangebote in Dresden - StepStone,jobboard,not-a-company:jobboard,https://stepstone.de
Job als Softwareentwickler (m/w/d) | Deloitte GmbH,jobboard,not-a-company:jobboard,https://job.deloitte.com
Softwareentwickler Jobs in Leipzig | Juni 2026 | Jobbörse Workwise,jobboard,not-a-company:jobboard,https://workwise.io
Stellenangebote Softwareentwickler Chemnitz | kimeta.de,jobboard,not-a-company:jobboard,https://kimeta.de
Softwareentwickler & Programmierer Jobs in Chemnitz,jobboard,not-a-company:jobboard,https://jobs.meinestadt.de
Stellenangebote Softwareentwickler Zwickau,jobboard,not-a-company:jobboard,https://jobs-in-zwickau.de
Software in Zwickau ⇒ in Das Örtliche,directory,not-a-company:directory,https://dasoertliche.de
Software in Zwickau | Firmensuche in der Nähe - meinestadt.de,directory,not-a-company:directory,https://branchenbuch.meinestadt.de
Die besten Website Entwicklung Agenturen in Leipzig,directory,not-a-company:directory,https://werbeagentur.de
Softwares Zwickau | Die besten Softwares in der Nähe - 11880.com,directory,not-a-company:directory,https://11880.com
